"","y","x1","x2","x3","x4"
"1",53.5,1008,5,2,35
"2",49,1290,6,3,36
"3",50.5,860,8,2,36
"4",49.9,912,5,3,41
"5",52,1204,6,3,40
"6",55,1204,5,3,10
"7",80.5,1764,8,4,64
"8",86,1600,7,3,19
"9",69,1255,5,3,16
"10",149,3600,10,5,17
"11",46,864,5,3,37
"12",38,720,4,2,41
"13",49.5,1008,6,3,35
"14",105,1950,8,3,52
"15",152.5,2086,7,3,12
"16",85,2011,9,4,76
"17",60,1465,6,3,102
"18",58.5,1232,5,2,69
"19",101,1736,7,3,67
"20",79.4,1296,6,3,11
"21",125,1996,7,3,9
"22",87.9,1874,5,2,14
"23",80,1580,5,3,11
"24",94,1920,5,3,14
"25",74,1430,9,3,16
"26",69,1486,6,3,27
"27",63,1008,5,2,35
"28",67.5,1282,5,3,20
"29",35,1134,5,2,74
"30",142.5,22400,9,4,15
"31",92.2,1701,5,3,15
"32",56,1020,6,3,16
"33",63,1053,5,2,24
"34",60,1728,6,3,26
"35",34,416,3,1,42
"36",52,1040,5,2,9
"37",75,1496,6,3,30
"38",93,1936,8,4,39
"39",60,1904,7,4,32
"40",72,1080,5,2,24
"41",71,1768,8,4,74
"42",83,1503,6,3,14
"43",90,1736,7,3,16
"44",83,1695,6,3,12
"45",115,2186,8,4,12
"46",50,888,5,2,34
"47",55.2,1120,6,3,29
"48",61,1400,5,3,33
"49",147,2165,7,3,2
"50",210,2353,8,4,1
"51",60,1536,6,3,36
"52",100,1972,8,3,37
"53",44.5,1120,5,3,27
"54",55,1664,7,3,79
"55",53.4,92,5,3,20
"56",65,1288,5,3,2
"57",73,1400,5,3,2
"58",40,1376,6,3,103
"59",141,2038,12,4,62
"60",68,1572,6,3,29
"61",139,1545,6,3,9
"62",140,1993,6,3,4
"63",55,1130,5,2,21
